Class,Solution treatment time (h),Solution treatment temperature (¡æ),Solution cooling way,Aging treatment time (h),Aging treatment temperature (¡æ),Aging cooling way,2nd aging treatment time (h),2nd aging treatment temperature (¡æ),2nd aging cooling way,C (mass%),Si (mass%),Ni (mass%),Mo (mass%),W (mass%),Al (mass%),N (mass%),Nb+Ta (mass%),B (mass%),V (mass%),Ti (mass%),Fe (mass%),Zr (mass%),Sn (mass%),Test temperature (¡æ),Test stress (MPa),Creep rupture life (h)
40,2,970,1,2,700,1,0,0,0,0.07,0.46,0.0065,0.51,0,5.97,0.002,0.73,0,0,85.19,0.015,3.5,3.42,650,220,21.00000001
41,2,1065,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,269
42,2,1040,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,117.0000001
43,2,1025,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,102.0000001
44,2,1000,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,71
45,2,970,1,2,700,1,0,0,0,0.065,0.31,0.002,0.5,0,5.75,0.0012,0.71,0,0,84.99,0.0065,3.54,4.02,650,220,33.00000001
46,1,950,3,24,600,1,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,125,22.06999999
47,1,950,3,24,600,1,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,250,1.229999999
48,1,950,3,24,600,1,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,319,0.25
49,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,125,14.00000001
50,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,250,0.619999999
51,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,6,0.05,0,0,4,89.55,0.3,0,0,600,319,0.17
52,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0,4,89.48,0.2,0,0,475,300,148.3300001
53,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0,4,89.48,0.2,0,0,500,300,46.67000001
54,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0,4,89.48,0.2,0,0,550,300,28.61000001
55,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.06,4,89.42,0.2,0,0,475,300,750
56,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.06,4,89.42,0.2,0,0,500,300,154.7200001
57,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.06,4,89.42,0.2,0,0,550,300,6.890000001
58,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.11,4,88.92,0.2,0,0,475,300,4722.219997
59,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.11,4,88.92,0.2,0,0,500,300,185.28
60,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,6.2,0.03,0,0.11,4,88.92,0.2,0,0,550,300,7.670000001
61,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,5.98,0.005,0,0,4.07,89.74,0.2,0,0,600,222,2.190000001
62,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,5.98,0.005,0,0,4.07,89.74,0.2,0,0,600,250,0.829999999
63,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,5.98,0.005,0,0,4.07,89.74,0.2,0,0,600,278,0.34
64,0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,5.98,0.005,0,0,4.07,89.74,0.2,0,0,600,300,0.19
65,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,500,291,2.810000001
66,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,500,361,1.299
67,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,500,465,0.126
68,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,500,520,0.013
69,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,600,97,0.272
70,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,600,125,0.105
71,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,600,291,0.00281
72,0,0,0,0,0,0,0,0,0,0.026,0,0,0,0,6.61,0.011,0,0,4.23,87.94,1.18,0,0,600,319,0.00157
73,1.5,1020,1,4,700,1,0,0,0,0.05,0.4,0,0.5,0.8,5.8,0,1.3,0,0,83.65,0,3.5,4,650,240,174.4999999
74,2,1050,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,300,304.8000002
75,2,1050,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,350,89
76,2,1050,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,400,37.50000002
77,2,1030,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,250,455.0000004
78,2,1030,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,300,110
79,2,1030,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,350,52.00000004
80,2,1030,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,400,30.00000002
81,2,1010,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,250,279.9999998
82,2,1010,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,300,103.0000001
83,2,1010,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,350,56
84,2,1010,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,400,21.00000001
85,2,990,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,250,250.0000002
86,2,990,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,300,78
87,2,990,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,350,38.00000003
88,2,990,1,2,700,1,0,0,0,0.06,0.35,0,0.5,0,5.8,0,0.7,0,0,85.02,0,3.5,4,600,400,19
,1.9974338,1044.9562,1.4740738,0.1505956,694.08746,0.9987141,0.015938282,3.1326225,0.00728032,0.065781794,0.35233212,6.63E-06,0.54763114,0.005152524,5.8537054,0.000694127,0.8910564,0.00093209,0.00526493,84.07056,0.005524203,3.5188835,4.011919,597.08887,433.12875,50.99721
,1.8163656,1063.704,1.2744261,0.024415553,637.3231,0.9998833,0.000576675,0.24753094,0.001191765,0.0803756,0.42269313,0.004412296,0.48640203,0.003345817,5.795598,4.53E-06,0.8679329,0.000137546,4.92E-06,83.47649,0.005992553,3.4647288,4.019847,560.17456,522.1809,63.356663
,0.009165645,1036.559,1.323639,0.3071457,611.4538,0.9944011,0.272277,7.9446416,0.01396808,0.05700495,0.35329822,0.6997556,0.5172343,0.01743704,5.8751864,0.00028529,0.7793982,0.002088606,0.024453104,83.821,0.016925823,3.4343338,4.008211,600.45636,400.75653,538.0582
,1.9978828,1034.5521,1.8041973,0.24496615,720.95764,0.99670184,0.06701499,6.822808,0.024948478,0.06454183,0.33420944,1.27E-06,0.56086147,0.007637382,5.8682985,0.004229517,0.8925373,0.002236554,0.058449365,84.13425,0.005636455,3.4941149,3.9773815,608.55133,412.4726,40.19826
,1.9373969,1049.5444,1.3315432,0.08589327,657.52924,0.99925244,0.007039309,1.5895536,0.003477395,0.071079984,0.38045967,0.000913802,0.5154065,0.004929483,5.8276243,8.79E-05,0.8580964,0.000556477,0.000511693,83.7926,0.006424331,3.438787,4.017525,582.2927,473.3752,86.66236
,0.013052225,1062.6663,1.1577648,0.048077106,585.51373,0.99962854,0.006319583,0.7153237,0.002343059,0.06999437,0.41224164,0.6991907,0.47736412,0.005943894,5.802185,6.61E-06,0.81605273,0.000261847,7.05E-05,83.52755,0.010287643,3.464272,4.0195646,582.93445,494.41122,361.18008
,1.61E-06,1071.245,0.90658146,0.05132407,622.6452,0.9996769,0.053615868,0.58357745,0.003919303,0.06684159,0.39657634,0.7,0.48127896,0.008745015,5.7987223,2.12E-05,0.67132145,0.000255166,0.000455595,83.3015,0.009760845,3.737555,4.0195327,581.6228,412.3983,759.1305
,1.9869623,1032.451,1.537364,0.31624734,686.1899,0.9944846,0.09327531,8.182301,0.017116308,0.060391568,0.33537093,9.71E-05,0.5217143,0.008440495,5.8966994,0.002092466,0.86355245,0.002447346,0.042890064,84.092186,0.008000609,3.4154778,3.983034,599.9,407.67966,92.9338
,0.012584388,1.0819495,0.022129118,4.2436957,2.50521,0.001369238,6.8780704,17.75491,0.009047538,0.043451197,0.002047655,2.52E-06,0.005349302,0.020303637,5.8931966,0.016510155,0.009720182,0.002083899,4.1719894,89.53697,0.07816659,0.007463932,0.001420891,597.61945,133.17224,6.999849
,1.7527002,1013.7252,1.4988467,0.4031971,649.8463,0.9892206,0.24302751,17.460802,0.023473829,0.05512649,0.34049875,0.019141376,0.5135294,0.012828857,5.9165764,0.002030221,0.8312561,0.003649256,0.11501332,84.06324,0.011962143,3.3010392,3.9440932,601.6794,386.83377,190.57318
,0.006970406,0.32604933,0.012941569,4.7528563,1.1694193,0.000339538,5.74421,17.464165,0.007485628,0.038516812,0.000986861,4.80E-07,0.002977777,0.015209109,5.899541,0.014272514,0.005675948,0.001572514,4.202187,89.55857,0.07940386,0.002621889,0.00052918,605.29846,130.15446,2.3589656
,0,1075.15,0.8266274,0.021204352,678.2903,0.99989295,0.036117435,0.18186688,0.002509207,0.06638008,0.39520887,0.7,0.43146983,0.010847062,5.793281,7.61E-06,0.68132466,0.000164208,0.000127198,83.1649,0.008194765,3.8388495,4.019844,576.8946,400.9752,805.33716
,0.001344144,1046.4302,1.2868142,0.262174,632.03076,0.99532473,0.4496321,6.809155,0.013426542,0.054711264,0.34956694,0.69998705,0.51377785,0.022011578,5.8811145,0.000412798,0.74551016,0.002217874,0.03597307,83.679535,0.017895475,3.539906,4.008532,601.024,384.9587,641.8198
,1.8092129,1029.7455,1.463337,0.30636042,662.8951,0.99295485,0.14425963,11.283073,0.015138775,0.057542603,0.34407365,0.011492774,0.522854,0.009497017,5.905638,0.001093698,0.8383441,0.002294848,0.049747936,83.98792,0.012362446,3.4014616,3.9764938,597.7936,405.68396,165.5939
,0.094300866,994.60016,1.5723562,0.87335855,600.32477,0.9737433,1.4470845,27.387255,0.039206147,0.050790727,0.33436972,0.6951394,0.49775353,0.028128028,5.954879,0.002311213,0.8138283,0.006328138,0.32507423,83.99788,0.025996696,3.230341,3.90864,605.97723,372.90475,519.8914
,1.9989557,1037.3354,1.8000407,0.16293675,723.9705,0.9974792,0.042666495,4.8855,0.022398382,0.06745101,0.34724945,4.59E-07,0.57664984,0.007458806,5.8569713,0.003511492,0.91588664,0.001575543,0.032878455,84.158516,0.005205486,3.5806627,3.99232,607.278,424.19357,33.384556
,0.0670079,1041.0782,1.3474331,0.3060639,622.2826,0.994833,0.16406924,9.761437,0.012282342,0.058808126,0.36421,0.6948588,0.5046711,0.014034301,5.8884087,0.000302251,0.78168136,0.001878247,0.021944055,83.8289,0.01774672,3.3505266,4.0041275,601.3553,415.0778,396.8092
,1.1695665,1056.4633,1.3142555,0.09147078,633.4034,0.99899644,0.01321435,1.7428607,0.004108697,0.07049911,0.39249918,0.12810229,0.4956627,0.008039296,5.8360367,5.24E-05,0.8477226,0.000559975,0.000583928,83.688866,0.009651864,3.4287615,4.017798,580.0039,481.8544,152.9456
,0,1077.6094,0.6911186,0.011917949,598.7405,0.9999757,0.005041063,0.058755875,0.001073867,0.07626803,0.42969543,0.7,0.4434217,0.004277855,5.7686305,7.42E-07,0.68548596,3.06E-05,2.77E-06,83.09529,0.006598441,3.8270812,4.019989,564.6709,458.4526,790.4216
,1.9973941,1050.5807,1.395103,0.099894404,691.54114,0.99930745,0.006751716,1.7451332,0.004131168,0.06932414,0.36585146,5.51E-06,0.54718304,0.004247427,5.8384514,0.000311174,0.88869625,0.000598046,0.001375482,83.87607,0.004988367,3.5548239,4.0165086,590.0192,462.40485,41.449722
,0.5408203,989.49835,1.5498443,0.6320447,633.1247,0.9805473,0.7661,28.06942,0.039367795,0.051091246,0.3377835,0.5711926,0.49376068,0.022922605,5.9439864,0.002314296,0.8258846,0.00567505,0.24594724,84.11799,0.020211486,3.2476797,3.8998399,608.0584,370.78085,402.2294
,0.004846633,0.17718673,0.008458346,4.434058,0.8950326,0.000165999,5.7492986,15.274582,0.005697757,0.03547458,0.000699382,1.88E-07,0.002065587,0.014912695,5.9019294,0.01336723,0.003565919,0.001380211,4.20856,89.58674,0.080771744,0.001395702,0.000269322,607.7522,125.52889,1.2620146
,0.04992193,1020.7881,1.3877681,0.37614852,622.0057,0.98941576,0.48347712,14.341505,0.019084454,0.054217864,0.35109845,0.6981154,0.4928755,0.01856041,5.9034495,0.000593331,0.78104967,0.003153321,0.07884611,83.9087,0.018585095,3.361918,3.988677,602.7164,397.91696,486.75174
,0.008109808,0.40014267,0.012048125,3.908041,1.3663113,0.000368178,6.3007026,15.047939,0.005499452,0.037602283,0.001196802,6.68E-07,0.002802134,0.015463024,5.89132,0.014075637,0.0053087,0.00162117,4.188877,89.573105,0.07125211,0.002764106,0.000513246,601.2462,129.13689,3.0474808
,1.995492,1028.5348,1.8180194,0.3262475,714.7571,0.994569,0.10142326,10.685152,0.03640887,0.063654795,0.34324217,3.84E-06,0.5380133,0.010904789,5.8848023,0.005253853,0.9017749,0.002761497,0.106766984,84.25826,0.006799349,3.425991,3.9579825,611.92566,402.33456,51.725292
,1.9463414,1049.8082,1.3560878,0.095799565,666.51227,0.99923235,0.009022653,1.9203281,0.004061461,0.070161715,0.37636894,0.000672808,0.52366924,0.005546302,5.8329763,0.000124663,0.8648086,0.00052139,0.00070684,83.83284,0.006795445,3.412671,4.0169344,582.62024,470.31302,72.95788
,1.7644602,1023.9755,1.7073231,0.76990426,660.7354,0.98522055,0.5384669,23.90446,0.044850945,0.05730338,0.3277894,0.01097551,0.5132697,0.019091338,5.95217,0.004693417,0.8900606,0.004691331,0.25152808,84.17769,0.015152575,3.2239978,3.8692958,602.547,374.943,236.22766
,4.23E-06,1059.507,1.0746492,0.09995252,686.3109,0.99838644,0.36972165,1.7467511,0.007869661,0.055044495,0.33819723,0.7,0.46313888,0.022039294,5.8539133,0.000198656,0.71292496,0.001374855,0.012919777,83.54327,0.014975229,3.7090683,4.015276,599.2258,357.88806,764.5644
,1.9981244,1037.2026,1.7896311,0.19340217,718.85895,0.9968003,0.05836934,5.531451,0.021791339,0.065985486,0.34030497,1.29E-06,0.55646217,0.00710988,5.8527384,0.003934638,0.9047485,0.001910348,0.047265362,84.17597,0.004859411,3.5081134,3.9860084,607.8305,424.17456,38.371784
,1.9687848,1041.6108,1.4620109,0.19891113,671.4326,0.99737805,0.03964901,4.9966674,0.007686138,0.063633025,0.35039568,0.000454032,0.53821105,0.007601053,5.865286,0.000601821,0.8743829,0.001219311,0.008535277,83.99825,0.00735741,3.4337373,4.0057864,594.02563,424.58743,95.78335
,1.19E-07,1077.1646,0.71516526,0.006735325,550.9015,0.99998987,0.000862777,0.038231313,0.000464857,0.076949194,0.4370697,0.7,0.416264,0.002402961,5.76502,1.51E-07,0.7461012,1.46E-05,2.52E-07,83.0874,0.004805078,3.758378,4.019995,563.3249,497.57532,733.8207
,1.9934752,1018.2978,1.7956817,0.416781,717.31506,0.99334335,0.13367534,13.064001,0.06012872,0.06330807,0.32612497,3.55E-06,0.5321881,0.011110514,5.8813624,0.007326961,0.8875913,0.003440939,0.16244937,84.323875,0.007386915,3.3433733,3.9238563,612.8411,391.9267,50.815327
,1.9986813,1046.1171,1.6345621,0.15737563,705.69366,0.9984716,0.029468536,3.7231264,0.010390967,0.06603116,0.34557658,2.11E-06,0.5613013,0.006520391,5.8516626,0.001661675,0.9243819,0.001199629,0.011639473,84.083855,0.005209566,3.6000485,4.0058427,600.0144,429.39743,39.249725
,1.9788139,1029.7446,1.5129908,0.2522722,677.3866,0.9951111,0.09532273,7.6209207,0.014845133,0.06087346,0.3358837,0.000256223,0.5310853,0.008605242,5.893402,0.001298428,0.8779857,0.002152312,0.03703717,84.0395,0.009042037,3.4203634,3.98598,597.7672,402.9313,102.61925
,1.6146734,1022.74396,1.5108333,0.41957647,660.0085,0.99090767,0.29210448,15.645388,0.021654457,0.056307536,0.34225097,0.046547752,0.5173944,0.012812436,5.920349,0.001754466,0.8414422,0.003606727,0.11282612,83.97574,0.012821864,3.368435,3.9649189,601.1439,388.8616,217.48282
,0.069170654,1019.90405,1.4345053,0.39841533,629.64453,0.9875285,0.7397115,18.38679,0.025099128,0.053339653,0.35100895,0.69749177,0.4985838,0.021877438,5.9261346,0.000945918,0.79094857,0.003968207,0.10864685,83.87398,0.02108844,3.382274,3.9729702,604.71484,390.67282,479.13794
,1.974612,1052.9723,1.3244852,0.0777185,674.8519,0.99943864,0.005342066,1.0997456,0.003605127,0.072394826,0.37972525,0.00019128,0.5195738,0.00406298,5.8225927,9.22E-05,0.8693423,0.000465712,0.000353483,83.80422,0.005237313,3.4775996,4.0182724,579.3217,481.42105,68.312416
,0.10938835,1009.551,1.4233998,0.507015,618.8032,0.9841722,0.7033631,18.52548,0.024919957,0.053651668,0.34966707,0.69397926,0.4825767,0.021342635,5.9202833,0.000911655,0.78899133,0.004378785,0.10405157,83.9668,0.021878917,3.3477426,3.966368,603.18524,398.20923,449.00095
,0.003828585,1054.2184,1.2447197,0.16015023,609.8753,0.9981147,0.07690489,3.3857892,0.007210165,0.06260283,0.36954224,0.6999068,0.51982975,0.011951357,5.8465214,8.24E-05,0.79373,0.00074679,0.003292031,83.63497,0.014854783,3.513074,4.016429,595.0428,422.84943,516.0543
,0.019711196,1051.5596,1.274421,0.14508218,597.9962,0.9981961,0.044570863,2.753618,0.006214917,0.06383142,0.38130662,0.6987939,0.5030851,0.009808302,5.831629,5.70E-05,0.7962623,0.000700311,0.001917053,83.72392,0.012643885,3.418747,4.016789,593.7314,447.92627,416.99408
,0.02918619,1041.5707,1.3237929,0.27899444,612.7771,0.9946476,0.1685977,7.376789,0.011150062,0.057456017,0.35819712,0.6988404,0.511534,0.01354149,5.871667,0.000224297,0.7774728,0.001692534,0.01645095,83.82825,0.015974844,3.374446,4.0092006,601.6036,411.7467,468.15033
,1.9992654,1043.9568,1.7352834,0.13408065,720.7272,0.9982395,0.03347844,4.055828,0.013175517,0.06694164,0.34849313,4.80E-07,0.5712752,0.006547958,5.850398,0.002711646,0.92526835,0.001597543,0.021955276,84.09907,0.00465787,3.6108785,4.000467,602.8592,431.7245,31.581594
,0.1061849,989.1175,1.5491359,0.7266149,616.04114,0.9770473,1.254198,28.248014,0.040241987,0.05129532,0.34471723,0.69464713,0.4859081,0.027041256,5.937344,0.001816922,0.80112225,0.005647061,0.2642274,83.992584,0.02664401,3.2452893,3.9176397,606.24194,379.2119,501.6472
,1.9945779,1032.6193,1.632782,0.23576021,701.15656,0.9962715,0.07639974,8.402036,0.0185422,0.061671667,0.34803897,1.72E-05,0.547087,0.007761985,5.875667,0.002511308,0.90350825,0.002354564,0.04325527,84.09531,0.005832158,3.51723,3.9855392,602.33905,410.39468,62.802773
,1.466366,1039.1592,1.4050672,0.24697036,651.51337,0.9958359,0.0640437,5.9313436,0.008344293,0.06262966,0.36026818,0.0706723,0.5234426,0.010403574,5.8688154,0.000323874,0.85094696,0.001491901,0.008784884,83.98359,0.010067992,3.3950567,4.007168,590.42847,433.27878,181.47984
,0.010106683,0.3377974,0.010253549,2.8302073,0.94308525,0.000442535,6.0358105,10.901724,0.002896011,0.030407136,0.000943074,8.76E-07,0.002445412,0.013308704,5.8858156,0.0123463,0.003936505,0.001094373,4.177012,89.58258,0.06875611,0.002551079,0.00037559,597.54803,122.88618,3.663805
,0.18150401,955.72595,1.5336208,1.0361075,591.3231,0.96284664,2.0509706,36.069508,0.061752975,0.051430874,0.32499787,0.6800206,0.4792223,0.034959912,5.948784,0.003828625,0.83710784,0.00858779,0.5857467,84.19128,0.031346403,3.1451654,3.8235714,603.54785,355.0888,513.6077
